complex,count,Systematic Name
cytosolic small ribosomal subunit,65,"['RDN18-1', 'RDN18-2', 'YAL035W', 'YBL072C', 'YBR048W', 'YBR181C', 'YBR189W', 'YCR031C', 'YCR077C', 'YDL061C', 'YDL083C', 'YDR025W', 'YDR064W', 'YDR447C', 'YDR450W', 'YER074W', 'YER102W', 'YER131W', 'YGL123W', 'YGL189C', 'YGR027C', 'YGR054W', 'YGR118W', 'YGR214W', 'YHL015W', 'YHR021C', 'YHR203C', 'YIL069C', 'YJL136C', 'YJL190C', 'YJL191W', 'YJR123W', 'YJR145C', 'YKL156W', 'YKR057W', 'YLR048W', 'YLR167W', 'YLR264W', 'YLR287C-A', 'YLR333C', 'YLR367W', 'YLR388W', 'YLR441C', 'YML024W', 'YML026C', 'YML063W', 'YMR116C', 'YMR143W', 'YMR230W', 'YNL007C', 'YNL096C', 'YNL178W', 'YNL302C', 'YOL040C', 'YOL121C', 'YOR096W', 'YOR167C', 'YOR182C', 'YOR293W', 'YOR369C', 'YPL081W', 'YPL090C', 'YPR041W', 'YPR132W', 'YPR163C']"
dehydrodolichyl diphosphate synthase complex,3,"['YBR002C', 'YDL193W', 'YMR101C']"
delta DNA polymerase complex,3,"['YDL102W', 'YJR006W', 'YJR043C']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,2,"['YAL023C', 'YDL095W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex,2,"['YDL095W', 'YOR321W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex,1,['YJR143C']
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex,2,"['YAL023C', 'YDL093W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex,2,"['YDL093W', 'YOR321W']"
dolichyl-phosphate-mannose-protein mannosyltransferase complex,5,"['YAL023C', 'YDL093W', 'YDL095W', 'YJR143C', 'YOR321W']"
dynactin complex,5,"['YDR106W', 'YHR129C', 'YLL049W', 'YMR294W', 'YPL174C']"
eRF1 methyltransferase complex,2,"['YDR140W', 'YNR046W']"
eisosome,9,"['YDR490C', 'YGR086C', 'YGR130C', 'YIL105C', 'YML052W', 'YMR031C', 'YMR086W', 'YOL100W', 'YPL004C']"
elongin complex,2,"['YNL230C', 'YPL046C']"
endoplasmic reticulum palmitoyltransferase complex,8,"['YBR058C-A', 'YDR062W', 'YGR038W', 'YKL212W', 'YLR246W', 'YLR350W', 'YMR296C', 'YOL110W']"
epsilon DNA polymerase complex,5,"['YBR278W', 'YDR121W', 'YJL090C', 'YNL262W', 'YPR175W']"
eukaryotic 43S preinitiation complex,9,"['YER025W', 'YMR260C', 'YNL244C', 'YPL237W', 'tM(CAU)C', 'tM(CAU)E', 'tM(CAU)J3', 'tM(CAU)O1', 'tM(CAU)P']"
eukaryotic 48S preinitiation complex,11,"['YAL035W', 'YER025W', 'YJR007W', 'YMR260C', 'YOR361C', 'YPR041W', 'tM(CAU)C', 'tM(CAU)E', 'tM(CAU)J3', 'tM(CAU)O1', 'tM(CAU)P']"
eukaryotic translation elongation factor 1 complex,4,"['YAL003W', 'YBR118W', 'YKL081W', 'YPR080W']"
eukaryotic translation initiation factor 2 complex,3,"['YER025W', 'YJR007W', 'YPL237W']"
eukaryotic translation initiation factor 2B complex,5,"['YDR211W', 'YGR083C', 'YKR026C', 'YLR291C', 'YOR260W']"
eukaryotic translation initiation factor 3 complex,7,"['YBR079C', 'YDR429C', 'YLR192C', 'YMR012W', 'YMR146C', 'YMR309C', 'YOR361C']"
eukaryotic translation initiation factor 4F complex,5,"['YGL049C', 'YGR162W', 'YJL138C', 'YKR059W', 'YOL139C']"
exocyst,8,"['YBR102C', 'YDR166C', 'YER008C', 'YGL233W', 'YIL068C', 'YJL085W', 'YLR166C', 'YPR055W']"
exomer complex,5,"['YJL099W', 'YKR027W', 'YLR330W', 'YMR237W', 'YOR299W']"
exosome (RNase complex),18,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W', 'YHR069C', 'YHR081W', 'YLR347C', 'YMR287C', 'YNL189W', 'YNL232W', 'YNR024W', 'YOL021C', 'YOL142W', 'YOR001W', 'YOR076C', 'YPL029W']"
fatty acid synthase complex,2,"['YKL182W', 'YPL231W']"
filamentous actin,2,"['YAL029C', 'YOR326W']"
"gamma-tubulin small complex, spindle pole body",3,"['YHR172W', 'YLR212C', 'YNL126W']"
glucosidase II complex,2,"['YBR229C', 'YDR221W']"
glutaminase complex,2,"['YMR095C', 'YMR096W']"
glutamyl-tRNA(Gln) amidotransferase complex,3,"['YBL080C', 'YGR102C', 'YMR293C']"
glutathione hydrolase complex,2,"['YBR281C', 'YNL191W']"
glycine cleavage complex,4,"['YAL044C', 'YDR019C', 'YFL018C', 'YMR189W']"
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,6,"['YDR437W', 'YGR216C', 'YNL038W', 'YPL076W', 'YPL096C-A', 'YPL175W']"
glycosylphosphatidylinositol-mannosyltransferase I complex,2,"['YCL052C', 'YJR013W']"
guanyl-nucleotide exchange factor complex,7,"['YDR137W', 'YDR211W', 'YGR083C', 'YKR026C', 'YLR039C', 'YLR291C', 'YOR260W']"
half bridge of spindle pole body,4,"['YJL019W', 'YLL003W', 'YNL188W', 'YOR257W']"
heterotrimeric G-protein complex,3,"['YHR005C', 'YJR086W', 'YOR212W']"
high-affinity iron permease complex,2,"['YER145C', 'YMR058W']"
histone acetyltransferase complex,46,"['YBL052C', 'YBR081C', 'YBR111W-A', 'YBR198C', 'YCL010C', 'YCR082W', 'YDR145W', 'YDR167W', 'YDR176W', 'YDR181C', 'YDR359C', 'YDR392W', 'YDR448W', 'YEL018W', 'YEL056W', 'YER164W', 'YFL024C', 'YFL039C', 'YGL066W', 'YGL112C', 'YGL252C', 'YGR002C', 'YGR252W', 'YHR090C', 'YHR099W', 'YJL081C', 'YJR082C', 'YLL022C', 'YLR055C', 'YLR455W', 'YMR127C', 'YMR223W', 'YMR236W', 'YNL107W', 'YNL136W', 'YOL148C', 'YOR023C', 'YOR064C', 'YOR213C', 'YOR244W', 'YPL001W', 'YPL047W', 'YPL129W', 'YPL254W', 'YPR023C', 'YPR031W']"
histone deacetylase complex,33,"['YAL013W', 'YBL054W', 'YBR095C', 'YBR103W', 'YCR033W', 'YDL076C', 'YDR155C', 'YDR207C', 'YDR295C', 'YER088C', 'YGL131C', 'YGL194C', 'YIL084C', 'YIL112W', 'YKL185W', 'YKR029C', 'YLR183C', 'YMR053C', 'YMR075W', 'YMR176W', 'YMR263W', 'YNL021W', 'YNL097C', 'YNL309W', 'YNL330C', 'YOL004W', 'YOL068C', 'YOR279C', 'YPL139C', 'YPL181W', 'YPR023C', 'YPR068C', 'YPR179C']"
holo TFIIH complex,11,"['YDL108W', 'YDR079C-A', 'YDR311W', 'YDR460W', 'YER171W', 'YIL143C', 'YLR005W', 'YOR352W', 'YPL122C', 'YPR025C', 'YPR056W']"
i-AAA complex,3,"['YCL044C', 'YMR115W', 'YPR024W']"
inner plaque of spindle pole body,4,"['YDR356W', 'YHR172W', 'YLR212C', 'YNL126W']"
inositol phosphoceramide synthase complex,2,"['YDR367W', 'YKL004W']"
intermediate filament,1,['YDR130C']
intermediate layer of spindle pole body,1,['YKL042W']
intracellular ribonucleoprotein complex,810,"['NME1', 'Q0020', 'Q0140', 'Q0158', 'Q0285', 'RDN18-1', 'RDN18-2', 'RDN25-1', 'RDN25-2', 'RDN5-1', 'RDN5-2', 'RDN5-3', 'RDN5-4', 'RDN5-5', 'RDN5-6', 'RDN58-1', 'RDN58-2', 'RPR1', 'TLC1', 'YAL005C', 'YAL021C', 'YAL025C', 'YAL032C', 'YAL033W', 'YAL035W', 'YAL036C', 'YAL059W', 'YBL004W', 'YBL016W', 'YBL018C', 'YBL026W', 'YBL027W', 'YBL028C', 'YBL032W', 'YBL038W', 'YBL072C', 'YBL074C', 'YBL087C', 'YBL090W', 'YBL092W', 'YBR031W', 'YBR048W', 'YBR055C', 'YBR072W', 'YBR079C', 'YBR084C-A', 'YBR094W', 'YBR101C', 'YBR119W', 'YBR120C', 'YBR122C', 'YBR127C', 'YBR143C', 'YBR146W', 'YBR152W', 'YBR160W', 'YBR167C', 'YBR172C', 'YBR181C', 'YBR188C', 'YBR189W', 'YBR191W', 'YBR212W', 'YBR238C', 'YBR247C', 'YBR251W', 'YBR257W', 'YBR267W', 'YBR268W', 'YBR282W', 'YCL011C', 'YCL031C', 'YCL037C', 'YCL054W', 'YCL059C', 'YCR003W', 'YCR031C', 'YCR046C', 'YCR057C', 'YCR059C', 'YCR063W', 'YCR071C', 'YCR072C', 'YCR077C', 'YDL014W', 'YDL030W', 'YDL031W', 'YDL040C', 'YDL043C', 'YDL045W-A', 'YDL053C', 'YDL060W', 'YDL061C', 'YDL069C', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL083C', 'YDL084W', 'YDL087C', 'YDL092W', 'YDL098C', 'YDL110C', 'YDL126C', 'YDL130W', 'YDL133C-A', 'YDL134C', 'YDL136W', 'YDL140C', 'YDL148C', 'YDL153C', 'YDL160C', 'YDL166C', 'YDL167C', 'YDL184C', 'YDL191W', 'YDL202W', 'YDL208W', 'YDL209C', 'YDL213C', 'YDL229W', 'YDR012W', 'YDR023W', 'YDR025W', 'YDR026C', 'YDR041W', 'YDR060W', 'YDR064W', 'YDR077W', 'YDR083W', 'YDR087C', 'YDR088C', 'YDR091C', 'YDR101C', 'YDR115W', 'YDR116C', 'YDR117C', 'YDR152W', 'YDR163W', 'YDR172W', 'YDR174W', 'YDR175C', 'YDR186C', 'YDR197W', 'YDR206W', 'YDR235W', 'YDR237W', 'YDR239C', 'YDR240C', 'YDR243C', 'YDR266C', 'YDR283C', 'YDR293C', 'YDR296W', 'YDR299W', 'YDR322W', 'YDR324C', 'YDR333C', 'YDR337W', 'YDR339C', 'YDR347W', 'YDR364C', 'YDR378C', 'YDR382W', 'YDR385W', 'YDR398W', 'YDR404C', 'YDR405W', 'YDR416W', 'YDR418W', 'YDR429C', 'YDR432W', 'YDR447C', 'YDR449C', 'YDR450W', 'YDR462W', 'YDR471W', 'YDR473C', 'YDR478W', 'YDR482C', 'YDR494W', 'YDR496C', 'YDR500C', 'YDR502C', 'YDR505C', 'YDR515W', 'YDR533C', 'YEL015W', 'YEL026W', 'YEL034W', 'YEL043W', 'YEL047C', 'YEL050C', 'YEL054C', 'YER002W', 'YER006W', 'YER007C-A', 'YER013W', 'YER025W', 'YER029C', 'YER036C', 'YER050C', 'YER056C-A', 'YER074W', 'YER082C', 'YER102W', 'YER110C', 'YER112W', 'YER117W', 'YER126C', 'YER127W', 'YER131W', 'YER146W', 'YER154W', 'YER165W', 'YER172C', 'YER176W', 'YER177W', 'YFL002C', 'YFL017W-A', 'YFL023W', 'YFL034C-A', 'YFL045C', 'YFR001W', 'YFR009W', 'YFR031C-A', 'YFR032C-A', 'YFR044C', 'YFR049W', 'YGL009C', 'YGL019W', 'YGL029W', 'YGL030W', 'YGL031C', 'YGL049C', 'YGL064C', 'YGL068W', 'YGL076C', 'YGL078C', 'YGL099W', 'YGL103W', 'YGL105W', 'YGL111W', 'YGL120C', 'YGL123W', 'YGL128C', 'YGL129C', 'YGL135W', 'YGL147C', 'YGL160W', 'YGL171W', 'YGL173C', 'YGL189C', 'YGL195W', 'YGL245W', 'YGR006W', 'YGR013W', 'YGR027C', 'YGR030C', 'YGR034W', 'YGR054W', 'YGR072W', 'YGR074W', 'YGR075C', 'YGR076C', 'YGR078C', 'YGR081C', 'YGR084C', 'YGR085C', 'YGR090W', 'YGR091W', 'YGR103W', 'YGR109W-A', 'YGR118W', 'YGR128C', 'YGR129W', 'YGR145W', 'YGR148C', 'YGR155W', 'YGR162W', 'YGR165W', 'YGR178C', 'YGR185C', 'YGR198W', 'YGR214W', 'YGR215W', 'YGR218W', 'YGR220C', 'YGR234W', 'YGR242W', 'YGR250C', 'YGR251W', 'YGR271C-A', 'YGR271W', 'YGR278W', 'YGR283C', 'YGR285C', 'YGR287C', 'YHL001W', 'YHL004W', 'YHL013C', 'YHL015W', 'YHL033C', 'YHL034C', 'YHL035C', 'YHR010W', 'YHR013C', 'YHR020W', 'YHR021C', 'YHR034C', 'YHR052W', 'YHR062C', 'YHR064C', 'YHR066W', 'YHR072W-A', 'YHR075C', 'YHR077C', 'YHR080C', 'YHR082C', 'YHR085W', 'YHR086W', 'YHR088W', 'YHR089C', 'YHR113W', 'YHR121W', 'YHR141C', 'YHR147C', 'YHR148W', 'YHR156C', 'YHR165C', 'YHR169W', 'YHR170W', 'YHR186C', 'YHR196W', 'YHR203C', 'YIL009C-A', 'YIL016W', 'YIL018W', 'YIL035C', 'YIL052C', 'YIL061C', 'YIL069C', 'YIL082W', 'YIL091C', 'YIL093C', 'YIL133C', 'YIL137C', 'YIL148W', 'YIL149C', 'YIR003W', 'YIR005W', 'YIR009W', 'YIR012W', 'YIR015W', 'YIR026C', 'YJL010C', 'YJL028W', 'YJL033W', 'YJL063C', 'YJL069C', 'YJL080C', 'YJL087C', 'YJL096W', 'YJL109C', 'YJL118W', 'YJL122W', 'YJL123C', 'YJL124C', 'YJL128C', 'YJL136C', 'YJL138C', 'YJL140W', 'YJL177W', 'YJL189W', 'YJL190C', 'YJL191W', 'YJL203W', 'YJL207C', 'YJL213W', 'YJR002W', 'YJR007W', 'YJR014W', 'YJR022W', 'YJR047C', 'YJR050W', 'YJR094W-A', 'YJR101W', 'YJR113C', 'YJR123W', 'YJR137C', 'YJR145C', 'YKL003C', 'YKL006W', 'YKL009W', 'YKL012W', 'YKL035W', 'YKL056C', 'YKL065C', 'YKL074C', 'YKL081W', 'YKL082C', 'YKL095W', 'YKL099C', 'YKL122C', 'YKL138C', 'YKL139W', 'YKL143W', 'YKL155C', 'YKL156W', 'YKL167C', 'YKL170W', 'YKL172W', 'YKL173W', 'YKL180W', 'YKL181W', 'YKL204W', 'YKL222C', 'YKR006C', 'YKR022C', 'YKR057W', 'YKR059W', 'YKR060W', 'YKR063C', 'YKR081C', 'YKR085C', 'YKR086W', 'YKR094C', 'YKR095W', 'YKR096W', 'YLL008W', 'YLL011W', 'YLL023C', 'YLL024C', 'YLL032C', 'YLL034C', 'YLL036C', 'YLL045C', 'YLR002C', 'YLR003C', 'YLR009W', 'YLR022C', 'YLR029C', 'YLR048W', 'YLR061W', 'YLR074C', 'YLR075W', 'YLR106C', 'YLR116W', 'YLR117C', 'YLR129W', 'YLR145W', 'YLR147C', 'YLR150W', 'YLR167W', 'YLR175W', 'YLR180W', 'YLR185W', 'YLR186W', 'YLR192C', 'YLR197W', 'YLR221C', 'YLR222C', 'YLR233C', 'YLR244C', 'YLR249W', 'YLR264W', 'YLR270W', 'YLR275W', 'YLR287C-A', 'YLR289W', 'YLR298C', 'YLR312W-A', 'YLR318W', 'YLR323C', 'YLR325C', 'YLR327C', 'YLR333C', 'YLR340W', 'YLR344W', 'YLR367W', 'YLR387C', 'YLR388W', 'YLR397C', 'YLR406C', 'YLR409C', 'YLR424W', 'YLR438C-A', 'YLR439W', 'YLR441C', 'YLR448W', 'YML009C', 'YML017W', 'YML024W', 'YML025C', 'YML026C', 'YML028W', 'YML046W', 'YML049C', 'YML063W', 'YML073C', 'YML091C', 'YML093W', 'YML105C', 'YML107C', 'YML117W', 'YMR012W', 'YMR014W', 'YMR024W', 'YMR040W', 'YMR049C', 'YMR080C', 'YMR086W', 'YMR093W', 'YMR114C', 'YMR116C', 'YMR121C', 'YMR125W', 'YMR128W', 'YMR142C', 'YMR143W', 'YMR146C', 'YMR158W', 'YMR188C', 'YMR193W', 'YMR194W', 'YMR213W', 'YMR225C', 'YMR226C', 'YMR229C', 'YMR230W', 'YMR237W', 'YMR240C', 'YMR242C', 'YMR246W', 'YMR247C', 'YMR260C', 'YMR268C', 'YMR269W', 'YMR286W', 'YMR288W', 'YMR290C', 'YMR295C', 'YMR309C', 'YNCB0019C', 'YNCE0024W', 'YNL002C', 'YNL005C', 'YNL007C', 'YNL014W', 'YNL016W', 'YNL061W', 'YNL067W', 'YNL069C', 'YNL075W', 'YNL081C', 'YNL085W', 'YNL096C', 'YNL110C', 'YNL118C', 'YNL122C', 'YNL132W', 'YNL137C', 'YNL138W-A', 'YNL147W', 'YNL157W', 'YNL161W', 'YNL162W', 'YNL175C', 'YNL177C', 'YNL178W', 'YNL185C', 'YNL187W', 'YNL197C', 'YNL207W', 'YNL208W', 'YNL209W', 'YNL210W', 'YNL221C', 'YNL224C', 'YNL227C', 'YNL244C', 'YNL245C', 'YNL247W', 'YNL252C', 'YNL255C', 'YNL282W', 'YNL284C', 'YNL286W', 'YNL301C', 'YNL302C', 'YNL306W', 'YNL308C', 'YNL311C', 'YNR011C', 'YNR022C', 'YNR024W', 'YNR036C', 'YNR037C', 'YNR038W', 'YNR051C', 'YNR052C', 'YNR053C', 'YNR054C', 'YOL010W', 'YOL039W', 'YOL040C', 'YOL041C', 'YOL070C', 'YOL077C', 'YOL099C', 'YOL111C', 'YOL114C', 'YOL120C', 'YOL121C', 'YOL123W', 'YOL127W', 'YOL138C', 'YOL139C', 'YOL149W', 'YOR004W', 'YOR019W', 'YOR039W', 'YOR046C', 'YOR056C', 'YOR061W', 'YOR063W', 'YOR078W', 'YOR091W', 'YOR096W', 'YOR133W', 'YOR145C', 'YOR148C', 'YOR150W', 'YOR151C', 'YOR158W', 'YOR159C', 'YOR167C', 'YOR173W', 'YOR175C', 'YOR182C', 'YOR198C', 'YOR204W', 'YOR206W', 'YOR227W', 'YOR234C', 'YOR252W', 'YOR253W', 'YOR272W', 'YOR287C', 'YOR293W', 'YOR294W', 'YOR303W', 'YOR308C', 'YOR310C', 'YOR312C', 'YOR319W', 'YOR350C', 'YOR359W', 'YOR361C', 'YOR369C', 'YPL009C', 'YPL012W', 'YPL013C', 'YPL043W', 'YPL048W', 'YPL064C', 'YPL073C', 'YPL079W', 'YPL081W', 'YPL090C', 'YPL093W', 'YPL105C', 'YPL106C', 'YPL110C', 'YPL118W', 'YPL126W', 'YPL131W', 'YPL132W', 'YPL137C', 'YPL143W', 'YPL151C', 'YPL169C', 'YPL173W', 'YPL178W', 'YPL183W-A', 'YPL184C', 'YPL198W', 'YPL210C', 'YPL211W', 'YPL213W', 'YPL215W', 'YPL217C', 'YPL220W', 'YPL225W', 'YPL226W', 'YPL237W', 'YPL243W', 'YPL249C-A', 'YPL266W', 'YPL280W', 'YPR016C', 'YPR041W', 'YPR043W', 'YPR057W', 'YPR080W', 'YPR082C', 'YPR088C', 'YPR091C', 'YPR094W', 'YPR096C', 'YPR100W', 'YPR101W', 'YPR102C', 'YPR112C', 'YPR129W', 'YPR132W', 'YPR137W', 'YPR143W', 'YPR144C', 'YPR148C', 'YPR163C', 'YPR166C', 'YPR178W', 'YPR182W', 'snR10', 'snR11', 'snR128', 'snR13', 'snR14', 'snR161', 'snR17a', 'snR17b', 'snR18', 'snR189', 'snR19', 'snR190', 'snR191', 'snR24', 'snR3', 'snR30', 'snR31', 'snR32', 'snR33', 'snR34', 'snR35', 'snR36', 'snR37', 'snR38', 'snR39', 'snR39B', 'snR4', 'snR40', 'snR41', 'snR42', 'snR43', 'snR44', 'snR45', 'snR46', 'snR47', 'snR48', 'snR49', 'snR5', 'snR50', 'snR51', 'snR52', 'snR53', 'snR54', 'snR55', 'snR56', 'snR57', 'snR58', 'snR59', 'snR6', 'snR60', 'snR61', 'snR62', 'snR63', 'snR64', 'snR65', 'snR66', 'snR67', 'snR68', 'snR69', 'snR7-L', 'snR7-S', 'snR70', 'snR71', 'snR72', 'snR73', 'snR74', 'snR75', 'snR76', 'snR77', 'snR78', 'snR79', 'snR8', 'snR80', 'snR81', 'snR82', 'snR83', 'snR84', 'snR85', 'snR86', 'snR87', 'snR9', 'tM(CAU)C', 'tM(CAU)E', 'tM(CAU)J3', 'tM(CAU)O1', 'tM(CAU)P']"
kinesin complex,5,"['YBL063W', 'YGL216W', 'YMR198W', 'YPL155C', 'YPL253C']"
kinetochore microtubule,6,"['YBR156C', 'YEL061C', 'YFL037W', 'YML085C', 'YML124C', 'YPL209C']"
kinetochore,68,"['YAL034W-A', 'YBR107C', 'YBR211C', 'YBR233W-A', 'YCL029C', 'YCR077C', 'YCR086W', 'YDL028C', 'YDR016C', 'YDR130C', 'YDR201W', 'YDR254W', 'YDR318W', 'YDR320C-A', 'YDR328C', 'YDR374W-A', 'YDR383C', 'YDR439W', 'YDR532C', 'YEL061C', 'YER018C', 'YER106W', 'YER116C', 'YER133W', 'YFR046C', 'YGL060W', 'YGL061C', 'YGL071W', 'YGL086W', 'YGL093W', 'YGR063C', 'YGR113W', 'YGR140W', 'YGR179C', 'YGR188C', 'YGR218W', 'YIL144W', 'YIR010W', 'YJL030W', 'YJR060W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL049C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKR037C', 'YKR083C', 'YLR045C', 'YLR315W', 'YLR381W', 'YMR094W', 'YMR117C', 'YMR168C', 'YOL069W', 'YOR014W', 'YOR026W', 'YOR073W', 'YOR191W', 'YOR195W', 'YPL018W', 'YPL204W', 'YPL209C', 'YPL233W', 'YPL268W', 'YPL269W', 'YPR046W']"
large ribosomal subunit,150,"['Q0158', 'RDN25-1', 'RDN25-2', 'RDN5-1', 'RDN5-2', 'RDN5-3', 'RDN5-4', 'RDN5-5', 'RDN5-6', 'RDN58-1', 'RDN58-2', 'YBL027W', 'YBL038W', 'YBL087C', 'YBL092W', 'YBR031W', 'YBR084C-A', 'YBR122C', 'YBR191W', 'YBR267W', 'YBR268W', 'YBR282W', 'YCR003W', 'YCR046C', 'YCR071C', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL126C', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDL202W', 'YDR012W', 'YDR101C', 'YDR115W', 'YDR116C', 'YDR237W', 'YDR296W', 'YDR322W', 'YDR333C', 'YDR382W', 'YDR405W', 'YDR418W', 'YDR462W', 'YDR471W', 'YDR496C', 'YDR500C', 'YEL050C', 'YEL054C', 'YER117W', 'YER154W', 'YFL034C-A', 'YFR031C-A', 'YFR032C-A', 'YGL030W', 'YGL031C', 'YGL064C', 'YGL068W', 'YGL076C', 'YGL099W', 'YGL103W', 'YGL135W', 'YGL147C', 'YGR034W', 'YGR076C', 'YGR085C', 'YGR148C', 'YGR220C', 'YHL001W', 'YHL033C', 'YHR010W', 'YHR141C', 'YHR147C', 'YHR170W', 'YIL018W', 'YIL052C', 'YIL133C', 'YIL148W', 'YJL063C', 'YJL096W', 'YJL177W', 'YJL189W', 'YJR094W-A', 'YKL006W', 'YKL082C', 'YKL138C', 'YKL167C', 'YKL170W', 'YKL180W', 'YKR006C', 'YKR085C', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR061W', 'YLR075W', 'YLR185W', 'YLR312W-A', 'YLR325C', 'YLR340W', 'YLR344W', 'YLR387C', 'YLR406C', 'YLR439W', 'YLR448W', 'YML009C', 'YML025C', 'YML073C', 'YMR024W', 'YMR121C', 'YMR142C', 'YMR193W', 'YMR194W', 'YMR225C', 'YMR242C', 'YMR286W', 'YNL005C', 'YNL067W', 'YNL069C', 'YNL122C', 'YNL162W', 'YNL177C', 'YNL185C', 'YNL227C', 'YNL252C', 'YNL284C', 'YNL301C', 'YNR022C', 'YOL039W', 'YOL114C', 'YOL120C', 'YOL127W', 'YOR063W', 'YOR150W', 'YOR234C', 'YOR312C', 'YPL079W', 'YPL131W', 'YPL143W', 'YPL173W', 'YPL183W-A', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR043W', 'YPR100W', 'YPR102C']"
luminal surveillance complex,3,"['YDR057W', 'YJL034W', 'YLR207W']"
m-AAA complex,2,"['YER017C', 'YMR089C']"
mRNA cap binding complex,3,"['YJL124C', 'YKL204W', 'YOR276W']"
mRNA cap methyltransferase complex,2,"['YGL130W', 'YPL228W']"
mRNA cleavage and polyadenylation specificity factor complex,15,"['YAL043C', 'YDR195W', 'YDR301W', 'YER133W', 'YGR156W', 'YJR093C', 'YKL018W', 'YKL059C', 'YKR002W', 'YLR115W', 'YLR277C', 'YNL222W', 'YNL317W', 'YOR179C', 'YPR107C']"
mRNA cleavage factor complex,20,"['YAL043C', 'YDR195W', 'YDR228C', 'YDR301W', 'YER133W', 'YGL044C', 'YGR156W', 'YJR093C', 'YKL018W', 'YKL059C', 'YKR002W', 'YLR115W', 'YLR277C', 'YMR061W', 'YNL222W', 'YNL317W', 'YOL123W', 'YOR179C', 'YOR250C', 'YPR107C']"
