Systematic Name,Protein Half-life
YMR028W,0.1366516
YLR110C,0.1672579
YDR529C,0.1726326
YKL139W,0.1939
YNL286W,0.199661
YDR077W,0.2180762
YPL187W,0.2317932
YGR111W,0.2379779
YBR260C,0.2433294
YDR184C,0.3439067
YDR497C,0.3678558
YBR158W,0.3853469
YLR206W,0.3866126
YBR173C,0.4103065
YJL133C-A,0.4159767
YNL327W,0.4235397
YDR146C,0.4460204
YKR013W,0.4554255
YHR152W,0.4658237
YNL036W,0.466943
YPR065W,0.4928691
YDR309C,0.5023323
YKL096W,0.5106541
YIL123W,0.5156356
YDR369C,0.5163145
YPR119W,0.5169834
YGL219C,0.5344692
YJL157C,0.5344775
YMR297W,0.558862
YKR042W,0.5598004
YLR190W,0.5610494
YJR015W,0.5614569
YOR342C,0.5615322
YGR055W,0.5705262
YML065W,0.5708624
YML058W,0.6006964
YLR079W,0.6076348
YNL115C,0.6143783
YOR052C,0.6312479
YLR223C,0.6466247
YOR028C,0.6506691
YCL055W,0.6617669
YLR327C,0.6682078
YDR086C,0.6733537
YKL178C,0.6938788
YHL027W,0.7130758
YDL070W,0.713794
YBR038W,0.7403748
YOR226C,0.7445393
YOR278W,0.7551991
YOR334W,0.7813219
YDL003W,0.7899448
YPL135W,0.8133314
YGR046W,0.836072
YBR068C,0.8571132
YOR355W,0.8784781
YER056C,0.8889043
YHR057C,0.8990545
YGR106C,0.9002748
YER032W,0.93123
YCR082W,0.9346364
YPL253C,0.935603
YDR384C,0.9375452
YGR044C,0.9475366
YHR175W,0.9691347
YJR092W,0.9696148
YKL101W,0.9699375
YDR185C,0.9709895
YKL185W,0.9814108
YLR237W,0.9831026
YOR023C,0.9872305
YDR262W,0.990961
YCR069W,0.9965422
YFL009W,1.009215
YOR256C,1.029756
YER065C,1.034587
YJL156C,1.04428
YOR346W,1.057097
YOL020W,1.069899
YGL021W,1.094679
YMR011W,1.118197
YCL058W-A,1.180037
YPL176C,1.208916
YHR115C,1.230473
YNL085W,1.244628
YOL122C,1.253852
YMR291W,1.272332
YEL061C,1.3168
YEL063C,1.354026
YGL222C,1.363702
YER100W,1.385241
YGR175C,1.387641
YLL027W,1.387749
YLR286C,1.390236
YPR155C,1.39199
YCR005C,1.402414
YJL158C,1.408066
YER162C,1.437343
YAL051W,1.443055
YNL066W,1.448109
YNR028W,1.450063
YDL204W,1.455397
YNL083W,1.465799
YML060W,1.482536
YOR264W,1.483169
YDL008W,1.483384
YCL064C,1.509454
YGR260W,1.539793
YAR027W,1.541815
YLR300W,1.546099
YOL011W,1.551435
YKL137W,1.566462
YKR093W,1.576821
YGR191W,1.598026
YOR157C,1.614014
YDR236C,1.614979
YJL094C,1.617549
YDR461C-A,1.618618
YKL125W,1.659223
YBR238C,1.668245
YBR202W,1.674148
YBL042C,1.695937
YIL140W,1.707946
YDR219C,1.708555
YDR217C,1.743782
YIL135C,1.781712
YOL019W,1.786724
YHL048W,1.79114
YGR141W,1.813128
YHR090C,1.833853
YHR050W,1.840564
YBR062C,1.868501
YDR055W,1.870437
YKL062W,1.882639
YDR247W,1.887457
YLL028W,1.926815
YAR031W,1.952314
YDR222W,1.960287
YDR313C,1.984571
YIL119C,1.988768
YGL077C,1.999213
YBL059C-A,2.006399
YPR075C,2.012641
YLR036C,2.030025
YKL184W,2.031195
YDR186C,2.031542
YIR033W,2.034653
YDL157C,2.061324
YNL047C,2.073703
YBR078W,2.080827
YOR034C,2.108123
YMR015C,2.111069
YCL036W,2.12236
YOR081C,2.130989
YOR368W,2.137087
YOL082W,2.146969
YLR056W,2.148558
YIL117C,2.149262
YNL295W,2.157732
YHR195W,2.165968
YGR246C,2.171309
YLR390W-A,2.211637
YIL055C,2.216274
YLR256W,2.232691
YLR130C,2.234847
YBR199W,2.235179
YML038C,2.240409
YMR305C,2.250992
YJL110C,2.280164
YGL191W,2.282247
YKL084W,2.291052
YPL053C,2.309781
YCR020C-A,2.310228
YLR407W,2.310937
YHR103W,2.334856
YER167W,2.365754
YNL024C,2.37525
YMR058W,2.398722
YDR492W,2.402191
YAR028W,2.407343
YBL028C,2.407727
YBL031W,2.411318
YBR126W-A,2.414009
YDL010W,2.418815
YNR018W,2.421697
YNL078W,2.439389
YBR085C-A,2.455261
YDR351W,2.468691
YDR244W,2.469473
YJL198W,2.472512
YGL243W,2.477779
YBR057C,2.496118
YMR184W,2.510972
YBL081W,2.52594
YJR127C,2.527393
YIL019W,2.531017
YDR216W,2.546815
YDR326C,2.547121
YKR071C,2.551632
YDL067C,2.551895
YHR001W-A,2.555727
YER001W,2.556491
YNL234W,2.566671
YLR098C,2.573328
YDR163W,2.576513
YDR003W,2.578032
YBR014C,2.586102
YMR055C,2.603833
YPL265W,2.61232
YOL077W-A,2.625951
YHR138C,2.641137
YLR074C,2.642543
YLR403W,2.643157
YHR007C,2.645765
YNL074C,2.654227
YDR507C,2.656372
YHR142W,2.6569
YDR540C,2.673478
YOL002C,2.690829
YGR060W,2.722286
YKL198C,2.725246
YML064C,2.737556
YIL112W,2.749184
YLL043W,2.771048
YPR159W,2.775428
YMR215W,2.781718
YKR100C,2.787884
YER170W,2.796516
YOL126C,2.799983
YHR149C,2.800489
YNL155W,2.811962
YFL036W,2.822515
YBR269C,2.830176
YDR508C,2.836757
YDR040C,2.837224
YFL021W,2.838285
YFR034C,2.861255
YJR004C,2.864543
YHL009C,2.868892
YOR301W,2.871515
YLL010C,2.88451
YDR370C,2.906475
YEL040W,2.925786
YGL178W,2.946847
YHL020C,2.957649
YLR167W,2.96305
YPL181W,2.9657
YER088C,2.975256
YML007W,2.975888
YBR179C,2.978171
YPL193W,2.98075
YBR073W,3.004578
YKR052C,3.012566
YMR042W,3.016204
YER126C,3.021322
YDR103W,3.022166
YPL038W,3.02948
YNL103W,3.034666
YBR187W,3.070659
YOR113W,3.075026
YOR099W,3.078516
YDL073W,3.080335
YOR316C,3.08978
YNL052W,3.096641
YOR148C,3.114197
YML009C,3.114883
YGR279C,3.121201
YHR082C,3.130858
YNR037C,3.131852
YGL028C,3.141732
YIL144W,3.143226
YDL224C,3.153947
YOR078W,3.162985
YBR242W,3.201776
YGR189C,3.207373
YLR108C,3.218232
YJL147C,3.242753
YDR054C,3.258331
YOR374W,3.262159
R0040C,3.262562
YIL056W,3.267215
YHR005C-A,3.284774
YBL054W,3.295326
YHR094C,3.303991
YDR143C,3.320377
YPR188C,3.327567
YLR091W,3.335796
YOR279C,3.384323
YJL016W,3.386268
YLR131C,3.389496
YLR191W,3.396435
YLR392C,3.399674
YER095W,3.428699
YPL221W,3.451647
YGR235C,3.463613
YDR464W,3.485953
YGL053W,3.486899
YLR289W,3.492334
YER050C,3.513974
YNL238W,3.514646
YMR255W,3.534608
YKL072W,3.539731
YPL127C,3.542772
YDR208W,3.555023
YER077C,3.572584
YOR373W,3.575646
YAL044W-A,3.609295
YOR188W,3.613261
YDL110C,3.616839
YCL012C,3.627932
YHR161C,3.634643
YPL194W,3.648625
YLR350W,3.654701
YMR210W,3.659993
YGL038C,3.679116
YGR008C,3.686993
YLR363W-A,3.688274
YMR295C,3.689573
YDL045W-A,3.691956
YOL054W,3.692103
YBL093C,3.695534
YGL035C,3.713658
YBR023C,3.71674
YPR079W,3.733401
YNL245C,3.743724
YOR231W,3.7638
YDR483W,3.77474
YKL095W,3.774757
YGL057C,3.794556
YDR039C,3.799187
YHR078W,3.820111
YHR132C,3.834078
YPR095C,3.84207
YOL108C,3.842824
YLR375W,3.854489
YLR395C,3.859557
YGR178C,3.86108
YFR038W,3.871587
YLR019W,3.877551
YIL155C,3.879521
YER079W,3.883688
YLR278C,3.887782
YER075C,3.908521
YPL274W,3.913453
YER070W,3.914413
YPL140C,3.917977
YHR097C,3.921523
YNR022C,3.924281
YFR036W,3.933518
YBR162C,3.936447
YGL036W,3.952325
YGR081C,3.962489
YER051W,3.963872
YGL203C,3.964091
YPL061W,3.965
YKL141W,3.99578
YDL175C,4.000875
YKL155C,4.009955
YGL017W,4.022361
YML004C,4.044335
YGR280C,4.052364
YIL131C,4.066838
YKL022C,4.093296
YJR140C,4.097536
YIR014W,4.097847
YOL045W,4.112627
YML093W,4.12184
YML128C,4.134468
YMR147W,4.134636
YIL127C,4.135301
YGR136W,4.149656
YPR011C,4.161197
YKR089C,4.167235
YCR026C,4.170726
YOR075W,4.174186
YGR102C,4.184023
YLL015W,4.184839
YMR145C,4.191553
YCL033C,4.192111
YIR010W,4.202063
YIL114C,4.208033
YLR214W,4.224428
YNR036C,4.236609
YMR286W,4.241525
YJL166W,4.244023
YLR265C,4.249945
YJL174W,4.254277
YBR091C,4.273288
YNR032W,4.274437
YDL176W,4.274955
YOR303W,4.284136
YLR117C,4.288045
YDL197C,4.29574
YGL029W,4.303649
YHR116W,4.30529
YKL174C,4.324373
YFR029W,4.337534
YBL025W,4.340348
YMR272C,4.342452
YHL002W,4.345975
YBL086C,4.347556
YGR028W,4.348942
YHR202W,4.353618
YDL139C,4.365022
YNL306W,4.371699
YKL119C,4.373133
YBR265W,4.373674
YJL098W,4.37621
YHR036W,4.379297
YDR428C,4.382935
YKL045W,4.384069
YIL017C,4.390373
YBL016W,4.390737
YML109W,4.391745
YOR189W,4.392203
YBR229C,4.399456
YIL002W-A,4.405816
YDR373W,4.406131
YIR002C,4.406469
YKR021W,4.410278
YML129C,4.411142
YBR231C,4.412953
YKL167C,4.414625
YGR183C,4.422641
YML081C-A,4.424633
YHR088W,4.426573
YGR258C,4.429163
YIL111W,4.431159
YDR227W,4.442588
YIL095W,4.459994
YOR385W,4.460217
YNL169C,4.480442
YPL046C,4.482986
YOL070C,4.485208
YOL051W,4.490069
YDR494W,4.51621
YBR188C,4.516912
YGL194C,4.531013
YLR414C,4.532447
YPR104C,4.534386
YGR245C,4.551632
YHL004W,4.555918
YJR112W,4.571316
YOR006C,4.584981
YDR318W,4.588953
YGR215W,4.594635
YIL003W,4.5948
YLR452C,4.596041
YBL090W,4.603717
YOR196C,4.606183
YLR038C,4.607531
YPL207W,4.614089
YJR147W,4.615204
YHR119W,4.625658
YNL167C,4.632026
YGL225W,4.633726
YOR290C,4.637142
YOR307C,4.641405
YOR020W-A,4.643048
YMR032W,4.645985
YBR007C,4.661207
YAL046C,4.666464
YDR261C,4.666703
YNL039W,4.672929
YGR042W,4.677004
YIL005W,4.678472
YPR141C,4.682817
YOL030W,4.683818
YNL133C,4.68485
YKL176C,4.685064
YBR146W,4.687679
YBR069C,4.690018
YBL018C,4.691158
YDR453C,4.692861
YBR244W,4.698282
YHR086W,4.723066
YDR182W,4.730178
YOR120W,4.736255
YDR229W,4.738519
YOR097C,4.747911
YER148W,4.755966
YGR250C,4.75755
YGR058W,4.767705
YHR135C,4.778259
YGL066W,4.799096
YKR006C,4.799339
YOR304C-A,4.801472
YHR084W,4.81249
YGR251W,4.816364
YCR054C,4.817045
YNL291C,4.817172
YPR166C,4.81757
YBR267W,4.823131
YDR415C,4.836056
YAL032C,4.836556
YER161C,4.836657
YHR100C,4.837837
YMR009W,4.838919
YHR164C,4.848291
YPR051W,4.850612
YKR076W,4.854628
YJR129C,4.857375
YPL186C,4.858236
YJL099W,4.858562
YNL094W,4.862108
YMR173W,4.863629
YEL042W,4.867209
YCR008W,4.870153
YBR197C,4.874626
YDL053C,4.875881
YGL244W,4.887092
YJL186W,4.89032
YMR048W,4.89254
YGR130C,4.901871
YNL201C,4.907214
YNL188W,4.907661
YKL098W,4.922225
YKL075C,4.929541
YHR122W,4.935324
YDL120W,4.93716
YOR367W,4.939928
YBR133C,4.946509
YAL014C,4.951904
YDR169C,4.956244
YOR171C,4.956343
YJL141C,4.959151
YHR206W,4.959595
YPL008W,4.961364
YLR299W,4.962239
YDR505C,4.962493
YOR252W,4.964386
YDR045C,4.966679
YKL005C,4.970747
YOR098C,4.977721
YMR112C,4.978047
YCR042C,4.981007
YFR049W,4.999925
YLL013C,5.003854
YOL060C,5.006925
YGR138C,5.011285
YDR325W,5.01231
YKL087C,5.02157
YDR519W,5.023566
YGL216W,5.026995
YHR147C,5.042058
YOR195W,5.042656
YKR020W,5.043364
YHR205W,5.043984
YHR118C,5.05078
YKR085C,5.054149
YLR034C,5.056209
YNL309W,5.056358
YBR028C,5.060853
YDR016C,5.065394
YPL190C,5.072653
YBR280C,5.074631
YER145C,5.076805
YDR150W,5.08
YML013W,5.08618
YMR171C,5.105537
YOR116C,5.110413
YGL139W,5.112075
YOR215C,5.124542
YER128W,5.126613
YMR307W,5.129555
YGL237C,5.134822
YLR295C,5.137858
YML011C,5.154004
YDR381C-A,5.162487
YGL075C,5.166471
YEL052W,5.167602
YLR211C,5.173691
YJL057C,5.178999
YKL051W,5.184938
YLR271W,5.202891
YDL043C,5.209252
YBR220C,5.21839
YHR051W,5.220231
YOR089C,5.220477
YNR053C,5.225742
YDL102W,5.227808
YML025C,5.243999
YER013W,5.252031
YFR011C,5.256187
YPR140W,5.257067
YGL187C,5.264722
YOR145C,5.268935
YIR015W,5.273195
YDR308C,5.278759
YHR120W,5.280366
YOR287C,5.281223
YEL024W,5.281263
YAL047C,5.282385
YPL168W,5.283088
YPR045C,5.287349
YDR111C,5.290417
YNL192W,5.31914
YJR043C,5.319327
YNL328C,5.320495
YPL133C,5.321763
YNL217W,5.332893
YBL078C,5.353047
YEL007W,5.355152
YBR262C,5.363681
YDR175C,5.36584
YNL255C,5.367712
YBR268W,5.368758
YPL118W,5.382386
YOR008C,5.385766
YLL011W,5.386013
YLR107W,5.397944
YDR452W,5.397946
YKR019C,5.401765
YLR163C,5.403545
YMR010W,5.404286
YNL110C,5.406669
YJR135W-A,5.420413
YBL061C,5.422285
YMR246W,5.429829
YGR076C,5.431261
YGL080W,5.434515
YCR071C,5.434753
YFL042C,5.435892
YJL168C,5.437005
YNL164C,5.437488
YFR039C,5.437998
YMR244C-A,5.445081
YML107C,5.448635
YJL092W,5.461177
YJL122W,5.462435
YJL218W,5.462818
YDL017W,5.467736
YDR422C,5.479803
YDR389W,5.480894
YAR018C,5.483255
YOL071W,5.486559
YLR187W,5.491364
YNL180C,5.492179
YOL151W,5.499758
YER180C-A,5.512252
YAR014C,5.513777
YMR031C,5.523002
YOR238W,5.523242
YNL311C,5.523513
YFL033C,5.528504
YML111W,5.530247
YDL133W,5.54845
YNL233W,5.551251
YMR159C,5.551618
YGL129C,5.551716
YDR080W,5.56164
YIL143C,5.563551
YDR022C,5.564096
YIL105C,5.567094
YMR263W,5.56977
YPL093W,5.571546
YPL191C,5.572875
YLR336C,5.573376
YJR075W,5.576277
YLR050C,5.581307
YGL004C,5.581551
YLR068W,5.587476
YKR062W,5.588647
YJL205C,5.590172
YDL005C,5.592577
YGL002W,5.594856
YOR093C,5.596732
YKL138C,5.599539
YDR511W,5.603775
YDL106C,5.607491
YDL091C,5.608405
YOR327C,5.610749
YPR010C,5.612251
YNR024W,5.61654
YNL173C,5.620548
YDR375C,5.631732
YER059W,5.633592
YOR220W,5.634164
YLR323C,5.636885
YBL085W,5.64327
YBR233W,5.645789
YDR411C,5.651051
YJL063C,5.65114
YDL107W,5.653142
YML037C,5.658216
YFL041W,5.6634
YDR532C,5.669194
YER040W,5.675135
YFR043C,5.677901
YKL099C,5.678076
YBR103W,5.682536
YJL006C,5.683277
YPR018W,5.683551
YKR090W,5.683781
YER114C,5.698877
YOL063C,5.714231
YFL034C-B,5.718164
YIL014W,5.718226
YDL202W,5.718983
YNL224C,5.720043
YER111C,5.731489
YOL080C,5.74543
YPL096W,5.752441
YJL210W,5.760291
YDL025C,5.761002
YAL025C,5.763589
YOL096C,5.766314
YPR094W,5.769136
YER139C,5.77546
YNL298W,5.776226
YDR221W,5.781754
YLR383W,5.785375
YJR091C,5.786551
YDR147W,5.787525
YJR034W,5.787866
YPL004C,5.790916
YPL011C,5.79153
YGR092W,5.796132
YNR038W,5.809008
YGR041W,5.817682
YPR116W,5.823408
YNL124W,5.823785
YIL085C,5.828641
YHR133C,5.83047
YDR178W,5.830828
YLL033W,5.835928
YFL007W,5.841005
YMR236W,5.847816
YDR017C,5.84952
YMR219W,5.854545
YAL033W,5.855983
YGL093W,5.857098
YPR187W,5.861989
YGR129W,5.862494
YKR099W,5.863364
YIL036W,5.872008
YEL032W,5.880796
YML076C,5.884725
YGL098W,5.889381
YLR257W,5.89116
YDR524C,5.891244
YDR243C,5.894529
YNL005C,5.897252
YGR089W,5.911576
YKR049C,5.912388
YMR188C,5.918294
YGR026W,5.918935
YLR423C,5.928644
YBR142W,5.935395
YDR041W,5.941113
YBR274W,5.960959
YKR029C,5.970388
YAL010C,5.982275
YDR436W,5.98616
YML055W,5.986625
YGR184C,5.989012
YPL043W,5.997932
YIL093C,5.99877
YGR276C,5.998928
YGL006W,6.002068
YPL078C,6.004209
YER019C-A,6.004692
YDR166C,6.007764
YPL137C,6.009322
YIL161W,6.011381
YMR193W,6.015135
YML081W,6.015818
YJL047C,6.018156
YBR097W,6.023723
YLR422W,6.041079
YPR037C,6.041374
YJR122W,6.051105
YHR132W-A,6.057044
YJL139C,6.07081
YER087W,6.07899
YJR113C,6.082515
YGR165W,6.08403
YLR139C,6.087585
YPL103C,6.088184
YLR009W,6.088447
YCR094W,6.09126
YKL105C,6.094167
YDL140C,6.096533
YIL147C,6.098143
YPL006W,6.098913
YDR180W,6.099337
YKL055C,6.099996
YGR241C,6.100214
YER002W,6.101338
YOR356W,6.10462
YMR234W,6.105496
YLR072W,6.113456
YIL064W,6.11769
YOR129C,6.118426
YNL068C,6.122152
YNL166C,6.122965
YKL219W,6.124908
YMR078C,6.140634
YOL086C,6.140887
YGL226C-A,6.146096
YIL088C,6.147671
YBR141C,6.151309
YDL044C,6.15706
YKL053C-A,6.157753
YLL022C,6.163037
YPR112C,6.163158
YDR440W,6.165761
YMR158W,6.177934
YGL027C,6.180034
YLR032W,6.180711
YEL048C,6.183351
YJR104C,6.18442
YER143W,6.199155
YPR171W,6.209677
YLR176C,6.212115
YJL062W,6.212161
YPL271W,6.232045
YDR377W,6.233847
YOR040W,6.236394
YNL310C,6.23812
YDR128W,6.239571
YIL079C,6.241905
YBL004W,6.244637
YLR363C,6.244883
YCL032W,6.248331
YGL091C,6.251277
YDR052C,6.255246
YDR079C-A,6.258883
YGR084C,6.265302
YLR454W,6.273531
YPR154W,6.282153
YAL036C,6.282206
YKL170W,6.284418
YJL062W-A,6.28519
YMR233W,6.286152
YLR097C,6.290156
YEL043W,6.291632
YCL057C-A,6.296025
YDL193W,6.305367
YDR345C,6.312021
YBL036C,6.315355
YNL072W,6.316112
YKL061W,6.316919
YMR128W,6.319805
YJR011C,6.324048
YIL010W,6.324696
YLR272C,6.325573
YKL008C,6.328407
YDR107C,6.335705
YNL141W,6.338981
YHR059W,6.340548
YER092W,6.342006
YHR165C,6.347994
YLR387C,6.349806
YGR086C,6.359963
YPL029W,6.364961
YDL156W,6.370607
YPL173W,6.371916
YMR270C,6.374763
YDL240W,6.375431
YDL042C,6.376208
YKR078W,6.390366
YBR185C,6.390988
YMR114C,6.394984
R0020C,6.395284
YKL112W,6.395997
YPL020C,6.400907
YMR037C,6.405103
YDR195W,6.408407
YNL214W,6.411133
YOR158W,6.413583
YCR066W,6.415066
YBR258C,6.416389
YER017C,6.420467
YCL017C,6.432499
YGR024C,6.434119
YAL049C,6.437223
YOL004W,6.437342
YJL180C,6.439906
YLR007W,6.448482
YPL232W,6.449585
YOR233W,6.451638
YNR011C,6.453995
YCL010C,6.455365
YNL116W,6.457308
YPL270W,6.457715
YBR140C,6.457834
YBL033C,6.458679
YBR275C,6.461169
YDR137W,6.461753
YLR382C,6.465046
YOL088C,6.465307
YOR054C,6.465357
YOR108W,6.465585
YKL082C,6.470782
YAL059W,6.471888
YLR082C,6.478507
YPL104W,6.480953
YGL174W,6.483047
YOR320C,6.483753
YGR145W,6.484541
YOR359W,6.486171
YMR014W,6.490193
YAL053W,6.491147
YDL105W,6.493563
YBR106W,6.496986
YDR356W,6.499659
YKL121W,6.500846
YGL055W,6.504499
YHR166C,6.508616
YKL032C,6.50955
YDR297W,6.510046
YKL078W,6.511061
YIL136W,6.514263
YDR371W,6.522016
