Systematic Name,mRNA Isoform Number
YAL067C,1
YOR241W,1
YOR255W,1
YOR325W,1
YOR326W,1
YJL152W,1
YOR389W,1
YOR390W,1
YPL272C,1
YPL261C,1
YPL223C,1
YJL175W,1
YPL192C,1
YPL165C,1
YPL164C,1
YPL135C-A,1
YPL119C,1
YPL115C,1
YJL135W,1
YJL189W,1
YOR208W,1
YJL120W,1
YNL033W,1
YNL012W,1
YNR001W-A,1
YNR058W,1
YNR060W,1
YNR063W,1
YNR072W,1
YOL118C,1
YOL089C,1
YOL087C,1
YOL055C,1
YOL037C,1
YOR293C-A,1
YOR339C,1
YJL099W,1
YOL078W,1
YOR113W,1
YOR199W,1
YPL040C,1
YPL033C,1
YJL197W,1
YBL063W,1
YBL049W,1
YBR152W,1
YBR293W,1
YBR295W,1
YCL061C,1
YCR020C,1
YCR022C,1
YCR045C,1
YJR041C,1
YCL027W,1
YCL021W-A,1
YDL222C,1
YDL220C,1
YDL214C,1
YDL174C,1
YDL094C,1
YBL097W,1
YBR182C-A,1
YJR091C,1
YBR128C,1
YPL017C,1
YPR006C,1
YPR059C,1
YPR075C,1
YPR170C,1
YPR195C,1
YJR150C,1
YPL207W,1
YNL057W,1
YPL147W,1
YPL027W,1
YPR064W,1
YJR126C,1
YKL105C,1
YPR153W,1
YPR201W,1
YBL101C,1
YBR045C,1
YPL062W,1
YNL097W-A,1
YJL045W,1
YJL042W,1
YLR285C-A,1
YKL197C,1
YLR398C,1
YLR406C-A,1
YLR408C,1
YLR412C-A,1
YKL220C,1
YLR415C,1
YLR428C,1
YLR436C,1
YLR460C,1
YLL015W,1
YLR080W,1
YLR086W,1
YLR111W,1
YLR217W,1
YLR307W,1
YLR281C,1
YLR280C,1
YLR236C,1
YLR235C,1
YKR009C,1
YKR015C,1
YKL129C,1
YKL107W,1
YKL101W,1
YKL083W,1
YKL064W,1
YKL053W,1
YLR381W,1
YKR028W,1
YKL151C,1
YLL063C,1
YLL013C,1
YLR053C,1
YLR055C,1
YLR084C,1
YKL169C,1
YLR127C,1
YKR075W-A,1
YDL035C,1
YLR400W,1
YML101C-A,1
YJR018W,1
YNL254C,1
YNL240C,1
YNL230C,1
YNL205C,1
YNL204C,1
YNL203C,1
YNL144C,1
YNL130C-A,1
YNR069C,1
YNR071C,1
YNL273W,1
YNL269W,1
YNL228W,1
YNL170W,1
YNL127W,1
YNL109W,1
YJR020W,1
YNL329C,1
YMR304W,1
YMR147W,1
YML089C,1
YML037C,1
YMR052C-A,1
YMR053C,1
YMR076C,1
YMR086C-A,1
YMR117C,1
YMR122C,1
YLR403W,1
YJR095W,1
YMR253C,1
YMR259C,1
YJR074W,1
YMR316C-A,1
YML002W,1
YMR064W,1
YMR066W,1
YMR094W,1
YJR086W,1
YDL019C,1
YPR115W,1
YGL158W,1
YER060W,1
YDR010C,1
YHR182C-A,1
YER024W,1
YEL008W,1
YAL002W,1
YHR193C-A,1
YJL129C,1
YEL059W,1
YER181C,1
YER135C,1
YGR068W-A,1
YER114C,1
YHL045W,1
YER039C-A,1
YHL042W,1
YGL063C-A,1
YHL015W,1
YDR442W,1
YJL107C,1
YHR050W-A,1
YDR425W,1
YDR403W,1
YHR056W-A,1
YER093C-A,1
YHR180C-B,1
YHR139C,1
YER137W-A,1
YFR027W,1
YGR126W,1
YHL046C,1
YFL036W,1
YHL037C,1
YGL223C,1
YGL222C,1
YHL023C,1
YAL047W-A,1
YGL194C,1
YHL005C,1
YJL160C,1
YGR107W,1
YHR007C-A,1
YFR031C,1
YGR097W,1
YHR022C-A,1
YAL027W,1
YFL021C-A,1
YHR073C-B,1
YGR072W,1
YFL025C,1
YHR097C,1
YFL050C,1
YHR136C,1
YJL170C,1
YHR116W,1
YDR351W,1
YFL008W,1
YIL086C,1
YIL059C,1
YAL037C-A,1
YIL026C,1
YGL015C,1
YAR035W,1
YJL056C,1
YGR213C,1
YIR018C-A,1
YIL159W,1
YDL248W,1
YDR535C,1
YDR507C,1
YAL054C,1
YDR423C,1
YJL038C,1
YDR407C,1
YIL046W-A,1
YDR305C,1
YIL015W,1
YDR256C,1
YGL125W,1
YJL027C,1
YIR014W,1
YJL216C,1
YAL018C,1
YHR157W,1
YGL156W,1
YDR048C,1
YDR206W,1
YGL013C,1
YDR182W-A,1
YDR180W,1
YGL007W,1
YJL211C,1
YDR125C,1
YDR146C,1
YDR106W,1
YAL029C,1
YGR039W,1
YDR003W,1
YDL025W-A,1
YGL006W,1
YDR166C,1
YAL004W,1
YIL166C,1
YGR259C,1
YMR180C,2
YMR218C,2
YML081W,2
YMR179W,2
YMR107W,2
YMR085W,2
YML127W,2
YMR024W,2
YMR012W,2
YGR064W,2
YML046W,2
YML100W-A,2
YMR185W,2
YMR176W,2
YDR017C,2
YGR131W,2
YIL169C,2
YIL160C,2
YIL147C,2
YLR047C,2
YIL132C,2
YLL020C,2
YLL032C,2
YLL038C,2
YLL042C,2
YKL033W,2
YKL044W,2
YIR002C,2
YIL116W,2
YKL121W,2
YKL210W,2
YKR005C,2
YKL055C,2
YLR189C,2
YHR206W,2
YHR175W,2
YLR272C,2
YGR224W,2
YGR225W,2
YGR281W,2
YMR037C,2
YML006C,2
YML072C,2
YML099C,2
YLR424W,2
YMR153C-A,2
YHR022C,2
YLR135W,2
YLL025W,2
YLL037W,2
YHL048W,2
YHL018W,2
YLR311C,2
YLR309C,2
YHR154W,2
YHR071C-A,2
YLR452C,2
YNL093W,2
YGL212W,2
YBL106C,2
YDR127W,2
YDR138W,2
YDR157W,2
YPR066W,2
YPR032W,2
YDR223W,2
YDR227W,2
YPL152W-A,2
YPL185W,2
YBL096C,2
YDR270W,2
YDR356W,2
YPR099C,2
YPR053C,2
YDR448W,2
YPL025C,2
YER039C,2
YER085C,2
YEL056W,2
YEL049W,2
YEL022W,2
YDR273W,2
YER038W-A,2
YBL067C,2
YBR182C,2
YDL024C,2
YDL215C,2
YDR173C,2
YDR228C,2
YCR106W,2
YCR075C,2
YCR073C,2
YCR064C,2
YCL026C-A,2
YBR203W,2
YBR174C,2
YBR184W,2
YBR109W-A,2
YBR032W,2
YBL037W,2
YBL046W,2
YDL240W,2
YDL218W,2
YBL085W,2
YDL206W,2
YDL149W,2
YDL041W,2
YBR178W,2
YOR384W,2
YOR381W-A,2
YOR349W,2
YGL193C,2
YGL188C-A,2
YNL015W,2
YGL179C,2
YGL124C,2
YGL064C,2
YNL103W-A,2
YGL023C,2
YNL117W,2
YNL145W,2
YGL199C,2
YGR071C,2
YGR087C,2
YGR122C-A,2
YNL298W,2
YGR188C,2
YNR056C,2
YNL106C,2
YNL114C,2
YGR229C,2
YGR236C,2
YGL258W,2
YNL234W,2
YOL145C,2
YGL230C,2
YFR012W-A,2
YER088W-B,2
YOR304W,2
YFL029C,2
YOR233W,2
YFL024C,2
YOR190W,2
YOR146W,2
YFR028C,2
YOR077W,2
YOL069W,2
YOL085W-A,2
YOL141W,2
YOL162W,2
YOL163W,2
YOL164W,2
YFR035C,2
YOR363C,2
YOR348C,2
YOR333C,2
YFL034W,2
YOR192C,2
YOR076C,2
YOR050C,2
YGL180W,2
YKL106C-A,2
YIR041W,2
YJR149W,2
YAR023C,2
YJR098C,2
YJL022W,2
YJL213W,2
YJL165C,2
YJL033W,2
YAL051W,2
YAR019C,2
YKL178C,2
YJR036C,2
YJR089W,2
YJL074C,2
YJR053W,2
YAL020C,2
YJL093C,2
YAL026C,2
YJL043W,2
YJL204C,3
YDR359C,3
YDR301W,3
YNL331C,3
YBR099C,3
YLR227C,3
YJL106W,3
YLR255C,3
YOR124C,3
YPR189W,3
YIL128W,3
YPR200C,3
YPL209C,3
YMR124W,3
YMR194C-A,3
YCR092C,3
YOR137C,3
YDR499W,3
YKL212W,3
YDR018C,3
YHR035W,3
YOR041C,3
YJR031C,3
YBR058C,3
YMR163C,3
YBL100W-C,3
YOR116C,3
YHR102W,3
YIL017C,3
YMR102C,3
YHR140W,3
YER037W,3
YKL072W,3
YGL041C,3
YGL244W,3
YDR524C-A,3
YOL106W,3
YLR067C,3
YBR238C,3
YPL116W,3
YLR040C,3
YER016W,3
YPR192W,3
YLR202C,3
YOR080W,3
YPL075W,3
YDR540C,3
YDR096W,3
YKL065W-A,3
YJR035W,3
YHR105W,3
YBR159W,3
YJR094C,3
YDR325W,3
YPL054W,3
YOL117W,3
YOR100C,3
YLR149C,3
YER180C,3
YDR534C,3
YIR020C,3
YDR103W,3
YDR028C,3
YLR319C,3
YEL061C,3
YPL264C,3
YKL010C,3
YOL025W,3
YDR097C,3
YOR219C,3
YOL028C,3
YDR120C,3
YER184C,3
YGR212W,3
YOR302W,3
YOR316C-A,3
YBL066C,3
YPL219W,3
YJL049W,3
YGR249W,3
YBL005W,3
YDR215C,3
YNL277W-A,3
YEL070W,3
YAL063C-A,3
YOR336W,3
YNR057C,3
YLR187W,3
YKL082C,3
YFL055W,3
YHL026C,3
YKL092C,3
YIR023W,3
YCR107W,3
YBL074C,3
YKR096W,3
YHR172W,3
YPR054W,3
YBL043W,3
YPL188W,3
YOR186W,3
YML020W,3
YJL090C,3
YDL221W,3
YIL054W,3
YIL089W,3
YKL038W,3
YFR045W,3
YPR055W,3
YOR034C-A,3
YEL067C,3
YER093C,3
YHL006W-A,3
YOR193W,3
YDL073W,3
YJR155W,3
YJL084C,3
YLR419W,3
YJL153C,3
YGR134W,3
YER175W-A,3
YPL125W,3
YDR042C,3
YER187W,3
YDR495C,4
YOL015W,4
YOR040W,4
YKR104W,4
YGR043C,4
YLR006C,4
YMR135C,4
YOL034W,4
YDR467C,4
YPL200W,4
YJL076W,4
YHR176W,4
YIL115C,4
YGR018C,4
YHR045W,4
YLR071C,4
YGR094W,4
YJL031C,4
YNL142W,4
YFR030W,4
YLR411W,4
YLL055W,4
YLR383W,4
YNL192W,4
YJL070C,4
YOR386W,4
YLR032W,4
YAL059W,4
YDR135C,4
YNL267W,4
YFL030W,4
YBL094C,4
YLR177W,4
YNR073C,4
YFL012W,4
YDL139C,4
YGR089W,4
YDR315C,4
YGL041C-B,4
YPL088W,4
YGL014W,4
YHR119W,4
YLR131C,4
YLR165C,4
YPL137C,4
YJR010W,4
YDR310C,4
YBR112C,4
YPL008W,4
YNL061W,4
YMR271C,4
YPR001W,4
YKL193C,4
YAL019W,4
YML076C,4
YPR030W,4
YPL174C,4
YMR279C,4
YFL020C,4
YEL034C-A,4
YCL055W,4
YPL257W,4
YML058W-A,4
YKL015W,4
YOR156C,4
YCR037C,4
YMR283C,4
YER180C-A,4
YMR030W,4
YGR201C,4
YPR081C,4
YDR461W,4
YCR010C,4
YML017W,4
YCR048W,4
YGL220W,4
YML088W,4
YPR015C,4
YOR324C,4
YCR099C,4
YCR073W-A,4
YIR033W,4
YPR146C,4
YCR068W,4
YIR029W,4
YOR058C,4
YGR067C,4
YOR062C,4
YIL113W,4
YBR147W,4
YKL171W,4
YMR007W,4
YKL205W,4
YCR025C,4
YIL101C,4
YMR175W,4
YBR237W,4
YML050W,4
YOR086C,5
YFR034C,5
YHR146W,5
YER158C,5
YJR059W,5
YOL157C,5
YNL092W,5
YFL001W,5
YKR079C,5
YOL097W-A,5
YPR049C,5
YDL150W,5
YMR127C,5
YOR173W,5
YPR123C,5
YJR115W,5
YPL077C,5
YDR122W,5
YNR044W,5
YHR069C-A,5
YOR127W,5
YJR110W,5
YDR243C,5
YDR317W,5
YML007C-A,5
YER096W,5
YPL153C,5
YDR369C,5
YFL021W,5
YBL047C,5
YOR300W,5
YHR077C,5
YER051W,5
YHR079C,5
YPR151C,5
YNL225C,5
YML041C,5
YDR113C,5
YGL094C,5
YLR289W,5
YKL071W,5
YPL113C,5
YGL075C,5
YHR027C,5
YJR004C,5
YER113C,5
YJL051W,5
YLR451W,5
YOL056W,5
YGR127W,5
YBL081W,5
YDR481C,5
YAR042W,5
YGR116W,5
YIL165C,5
YOR008W-B,5
YLR437C-A,5
YFL054C,5
YAR029W,5
YDL057W,5
YDR069C,5
YGR238C,5
YMR100W,5
YLR267W,5
YPL187W,5
YDL211C,5
YLL054C,5
YLL059C,5
YFR038W,5
YJL092W,5
YJL023C,5
YLR446W,5
YOR227W,5
YKR082W,5
YPR025C,5
YOR005C,5
YJR136C,5
YGR053C,5
YDR263C,5
YPR022C,5
YDR439W,5
YGR170W,5
YIL030C,5
YBR273C,5
YOR018W,5
YDL085W,5
YBR228W,5
YOR017W,5
YDR126W,5
YKR041W,5
YGR153W,5
YPL166W,5
YDL107W,5
YBR038W,5
YIL049W,5
YOR009W,5
YMR109W,5
YIL061C,5
YJR129C,6
YGR019W,6
YDR081C,6
YGR218W,6
YPL171C,6
YKR011C,6
YER075C,6
YLL043W,6
YLR233C,6
YLR453C,6
YMR129W,6
YFR034W-A,6
YIL144W,6
YBR285W,6
YDR295C,6
YGR090W,6
YPR047W,6
YOR162C,6
YOR318C,6
YML027W,6
YPR116W,6
YLL012W,6
YPR193C,6
YFR048W,6
YLL033W,6
YBR055C,6
YIL006W,6
YOR371C,6
YNL126W,6
YHR017W,6
YBR065C,6
YDR501W,6
YHR082C,6
YOL152W,6
YLR266C,6
YPR031W,6
YGR150C,6
YLR394W,6
YGL081W,6
YIL139C,6
YPR168W,6
YOL083W,6
YGR274C,6
YBR114W,6
YLR046C,6
YDR379W,6
YLR134W,6
YKR086W,6
YJL144W,6
YDR430C,6
YER174C,6
YAL015C,6
YBR223C,6
YEL023C,6
YOR030W,6
YDL216C,6
YCR008W,6
YJL206C,6
YOL072W,6
YLR174W,6
YMR303C,6
YMR304C-A,6
YLR263W,6
YIL038C,6
YCR006C,6
YKR091W,6
YDL187C,6
YMR068W,6
YJL162C,6
YJL020C,6
YMR169C,6
YLR004C,6
YGL007C-A,6
YBR270C,6
YIL002C,6
YLR116W,6
YDL104C,6
YER149C,6
YJL118W,6
YKL150W,6
YGR247W,6
YBR156C,6
YLR240W,6
YJL215C,6
YGL205W,6
YLR299W,6
YOR378W,6
YIR001C,6
YBR054W,6
YJR107W,6
YLR296W,6
YOL029C,6
YDR240C,6
YIL031W,6
YDL087C,6
YGR109C,6
YPL009C,6
YHR132W-A,6
YDR532C,6
YHR134W,6
YDR375C,6
YJL094C,6
YMR231W,6
YOR338W,6
YML117W,6
YBR033W,6
YGR014W,6
YGR194C,7
YEL008C-A,7
YNL304W,7
YKL091C,7
YHR130C,7
YOR346W,7
YBL104C,7
YDR213W,7
YDL176W,7
YJL149W,7
YOR308C,7
YFR016C,7
YPR104C,7
YFL014W,7
YAL037W,7
YBL052C,7
YKL036C,7
YMR025W,7
YER053C-A,7
YKL020C,7
YKL048C,7
YOR368W,7
YNL256W,7
YDR109C,7
YLR286W-A,7
YNL008C,7
YLL003W,7
YGR174W-A,7
YMR086W,7
YGR196C,7
YER028C,7
YJR146W,7
YLR164W,7
YKL017C,7
YCR083W,7
YNL328C,7
YJR152W,7
YOL155C,7
YGL032C,7
YCL032W,7
YPL233W,7
YKL106W,7
YHR120W,7
YGL263W,7
YLR035C,7
YDR014W,7
YOR098C,7
YOR106W,7
YMR031C,7
YOR109W,7
YBR165W,7
YNL201C,7
YJL141C,7
YGR006W,7
YCR102C,7
YJL108C,7
YOR012W,7
YJL047C,7
YIL117C,7
YOR010C,7
YBL019W,7
YDR504C,7
YKL149C,7
YDR421W,7
YLR001C,7
YDL102W,7
YDR419W,7
YMR262W,7
YPL189W,7
YOR038C,7
YMR266W,7
YLL031C,7
YMR288W,7
YOR022C,7
YLR205C,7
YGR287C,7
YGR138C,7
YKR049C,7
YLR389C,7
YEL073C,7
YDR536W,7
YGL201C,7
YBR210W,7
YNL183C,7
YOR151C,7
YLR443W,7
YNL077W,7
YGR258C,7
YGR233C,7
YML124C,7
YER150W,7
YFL027C,7
YLR456W,7
YDR076W,7
YOR211C,7
YDR343C,7
YER121W,7
YLR225C,7
YMR128W,7
YOR129C,7
YDL241W,7
YJR153W,7
YOL146W,7
YDR001C,7
YPL001W,7
YKR012C,7
YAL041W,8
YGR237C,8
YFL041W-A,8
YMR252C,8
YPL204W,8
YJL058C,8
YGR061C,8
YMR293C,8
YDR194C,8
YPR097W,8
YNR007C,8
YDL156W,8
YDL129W,8
YJR119C,8
YPL183C,8
YPL258C,8
YDL127W,8
YMR036C,8
YNL270C,8
YGL216W,8
YML118W,8
YGL062W,8
YDR080W,8
YGL240W,8
YPL114W,8
YMR316C-B,8
YMR174C,8
YJL194W,8
YPR002W,8
YPL005W,8
YER167W,8
YNL314W,8
YHR029C,8
YIR017C,8
YER162C,8
YFR018C,8
YOR289W,8
YDR171W,8
YBR141W-A,8
YHR075C,8
YJL127C,8
YHR090C,8
YDR191W,8
YKR097W,8
YAL031C,8
YOL011W,8
YKL162C,8
YJL154C,8
YLR442C,8
YAL062W,8
YJL087C,8
YLR095C,8
YLR102C,8
YLR108C,8
YDR058C,8
YBR157C,8
YBR063C,8
YJL156C,8
YIR042C,8
YNL091W,8
YIL126W,8
YNL278W,8
YOR180C,8
YBR235W,8
YKR075C,8
YLR137W,8
YHL016C,8
YLR138W,8
YKR046C,8
YIL030W-A,8
YER017C,8
YBR299W,8
YKL029C,9
YCR015C,9
YPL084W,9
YOL114C,9
YOR036W,9
YGL049C,9
YDR386W,9
YPL056C,9
YHR175W-A,9
YER040W,9
YER054C,9
YJL062W,9
YMR013W-A,9
YOR066W,9
YER045C,9
YDR003W-A,9
YML087C,9
YCL016C,9
YDR323C,9
YOR154W,9
YGL154C,9
YJL050W,9
YGL146C,9
YHR052W,9
YGL136C,9
YNL042W,9
YHR060W,9
YPL159C,9
YPL045W,9
YCL033C,9
YDL069C,9
YBR169C,9
YMR154C,9
YJR106W,9
YOR026W,9
YPL041C,9
YOL095C,9
YOR028C,9
YKL043W,9
YIL029C,9
YGL233W,9
YOR350C,9
YOL113W,9
YKL133C,9
YMR196W,9
YDR515W,9
YMR167W,9
YER161C,9
YGR146C-A,9
YBR161W,9
YGR283C,9
YIL112W,9
YOL151W,9
YML109W,9
YBR056W-A,9
YBR047W,9
YDL093W,9
YDL175C,9
YOR013W,9
YKL173W,9
YMR182C,9
YJL088W,9
YDL190C,9
YOL063C,9
YKR029C,9
YKR099W,9
YOL038C-A,9
YGR044C,9
YMR257C,9
YGR047C,9
YDR438W,9
YNL087W,9
YPR174C,9
YMR273C,9
YGR169C,9
YJR019C,9
YMR054W,9
YHR153C,9
YLR373C,9
YGL237C,9
YGR243W,9
YPL248C,9
YLR125W,9
YDR052C,9
YDR189W,9
YBR023C,9
YER176W,9
YLL002W,9
YLR357W,9
YHR131C,9
YLR148W,9
YHL010C,9
YNL023C,9
YGR256W,9
YLR057W,9
YLR342W-A,9
YNL327W,9
YML104C,9
YAL064W-B,9
YPR079W,9
YLR234W,9
YDR249C,9
YDR251W,9
YDR183C-A,9
YLR382C,9
YDR192C,9
YNL041C,9
YBL105C,9
YGR099W,9
YNL011C,10
YCR097W,10
YKR050W,10
YLR007W,10
YDR505C,10
YKR055W,10
YMR275C,10
YGL151W,10
YGR015C,10
YNL325C,10
YDR070C,10
YHR178W,10
YMR320W,10
YMR294W,10
YNL035C,10
YLL010C,10
YMR187C,10
YNL188W,10
YMR204C,10
YKL155C,10
YDL209C,10
YDR208W,10
YGL204C,10
YDR195W,10
YBL022C,10
YBR072W,10
YDR314C,10
YOR032C,10
YOR372C,10
YKR087C,10
YDR151C,10
YOR337W,10
YER101C,10
YHL014C,10
YLR274W,10
YGR292W,10
YBR289W,10
YDL207W,10
YKL026C,10
YPR107C,10
YDL195W,10
YIR010W,10
YMR003W,10
YOL154W,10
YIL153W,10
YIL161W,10
YBR098W,10
YGL227W,10
YBR119W,10
YPR135W,10
YER015W,10
YKL108W,10
YJL209W,10
YGL248W,10
YMR160W,10
YHR041C,10
YGR117C,10
YGR121C,10
YLR091W,10
YNL243W,10
YPL269W,10
YJL080C,10
YOR295W,10
YDR414C,10
YHR166C,10
YGL057C,10
YDR089W,10
YLR097C,10
YDL098C,10
YNL076W,10
YML061C,10
YML054C,10
YPL050C,10
YPR057W,10
YLR273C,10
YPL186C,10
YLR122C,10
YML015C,10
YOR083W,10
YMR055C,10
YDR311W,10
YBR007C,10
YER098W,10
YNR033W,10
YOR111W,10
YHR198C,10
YNL321W,10
YNL133C,10
YOR107W,10
YLR294C,10
YMR112C,10
YOR206W,10
YNL082W,10
YDL115C,10
YDR027C,10
YOR075W,10
YPL241C,10
YLR337C,10
YIR034C,11
YKL179C,11
YCL063W,11
YMR152W,11
YOR256C,11
YKL139W,11
YLR120W-A,11
YKL057C,11
YCL058W-A,11
YIR030C,11
YCR024C-A,11
YER188W,11
YDL138W,11
YNL032W,11
YHL040C,11
YIR008C,11
YDL044C,11
YNL009W,11
YNL233W,11
YDR130C,11
YIR025W,11
YKL084W,11
YKL134C,11
YGR248W,11
YIL162W,11
YBR095C,11
YPR141C,11
YJL187C,11
YGR168C,11
YML005W,11
YOR329C,11
YPR178W,11
YLR346C,11
YML075C,11
YCR054C,11
YFR043C,11
YML019W,11
YAL047C,11
YBR059C,11
YML107C,11
YLR210W,11
YGR250C,11
YFL031W,11
YCR067C,11
YOR160W,11
YJL119C,11
YHR038W,11
YIL140W,11
YDL028C,11
YDR541C,11
YIR005W,11
YLR246W,11
YNL103W,11
YNL315C,11
YBR138C,11
YMR182W-A,11
YDL199C,11
YDR485C,11
YOR003W,11
YOL070C,11
YOL065C,11
YDR303C,11
YPL096W,11
YNL276C,11
YGR166W,11
YMR080C,11
YMR077C,11
YDR444W,11
YOR266W,11
YOL043C,11
YDR085C,11
YGR125W,11
YPR094W,11
YMR289W,11
YHR171W,11
YDR222W,11
YDL021W,11
YHR159W,11
YDL158C,11
YGL066W,11
YNL050C,11
YMR316W,11
YLR404W,11
YDL160C,11
YGR001C,11
YHR133C,11
YGL093W,11
YDR358W,11
YPL069C,11
YBL031W,11
YOL033W,11
YKR101W,11
YLR126C,11
YER041W,11
YDR013W,11
YLR017W,11
YDR336W,11
YEL066W,11
YDL086C-A,11
YKR021W,11
YKL042W,11
YGR222W,11
YEL062W,11
YMR192W,11
YNL249C,11
YGR206W,11
YLL004W,11
YAL011W,11
YAR014C,11
YDR258C,11
YJL199C,11
YOL071W,11
